Year,ICD Code,Description,Link,Cleaned Description
2025,C88.3,C88.3 Immunoproliferative small intestinal disease,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.3,Immunoproliferative small intestinal disease
2025,C88.30,C88.30 Immunoproliferative small intestinal disease not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.30,Immunoproliferative small intestinal disease not having achieved remission
2025,C88.31,"C88.31 Immunoproliferative small intestinal disease, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.31,"Immunoproliferative small intestinal disease, in remission"
2025,C88.4,C88.4 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
2025,C88.40,C88.40 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.40,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] not having achieved remission
2025,C88.41,"C88.41 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.41,"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma], in remission"
2025,C88.8,C88.8 Other malignant immunoproliferative diseases,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.8,Other malignant immunoproliferative diseases
2025,C88.80,C88.80 Other malignant immunoproliferative diseases not having achieved remission,https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.80,Other malignant immunoproliferative diseases not having achieved remission
2025,C88.81,"C88.81 Other malignant immunoproliferative diseases, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.81,"Other malignant immunoproliferative diseases, in remission"
2025,C88.9,"C88.9 Malignant immunoproliferative disease, unspecified",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.9,"Malignant immunoproliferative disease, unspecified"
2025,C88.90,"C88.90 Malignant immunoproliferative disease, unspecified not having achieved remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.90,"Malignant immunoproliferative disease, unspecified not having achieved remission"
2025,C88.91,"C88.91 Malignant immunoproliferative disease, unspecified, in remission",https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C88-/C88.91,"Malignant immunoproliferative disease, unspecified, in remission"
2025,D61.03,D61.03 Fanconi anemia,https://www.icd10data.com/ICD10CM/Codes/D50-D89/D60-D64/D61-/D61.03,Fanconi anemia
2025,E10.A,"E10.A Type 1 diabetes mellitus, presymptomatic",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E08-E13/E10-/E10.A,"Type 1 diabetes mellitus, presymptomatic"
2025,E10.A0,"E10.A0 Type 1 diabetes mellitus, presymptomatic, unspecified",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E08-E13/E10-/E10.A0,"Type 1 diabetes mellitus, presymptomatic, unspecified"
2025,E10.A1,"E10.A1 Type 1 diabetes mellitus, presymptomatic, Stage 1",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E08-E13/E10-/E10.A1,"Type 1 diabetes mellitus, presymptomatic, Stage 1"
2025,E10.A2,"E10.A2 Type 1 diabetes mellitus, presymptomatic, Stage 2",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E08-E13/E10-/E10.A2,"Type 1 diabetes mellitus, presymptomatic, Stage 2"
2025,E16.A,E16.A Hypoglycemia level,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E15-E16/E16-/E16.A,Hypoglycemia level
2025,E16.A1,E16.A1 Hypoglycemia level 1,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E15-E16/E16-/E16.A1,Hypoglycemia level 1
2025,E16.A2,E16.A2 Hypoglycemia level 2,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E15-E16/E16-/E16.A2,Hypoglycemia level 2
2025,E16.A3,E16.A3 Hypoglycemia level 3,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E15-E16/E16-/E16.A3,Hypoglycemia level 3
2025,E34.0,E34.0 Carcinoid syndrome,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35/E34-/E34.0,Carcinoid syndrome
2025,E34.00,"E34.00 Carcinoid syndrome, unspecified",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35/E34-/E34.00,"Carcinoid syndrome, unspecified"
2025,E34.01,E34.01 Carcinoid heart syndrome,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35/E34-/E34.01,Carcinoid heart syndrome
2025,E34.09,E34.09 Other carcinoid syndrome,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35/E34-/E34.09,Other carcinoid syndrome
2025,E66.8,E66.8 Other obesity,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68/E66-/E66.8,Other obesity
2025,E66.81,E66.81 Obesity class,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68/E66-/E66.81,Obesity class
2025,E66.811,"E66.811 Obesity, class 1",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68/E66-/E66.811,"Obesity, class 1"
2025,E66.812,"E66.812 Obesity, class 2",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68/E66-/E66.812,"Obesity, class 2"
2025,E66.813,"E66.813 Obesity, class 3",https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68/E66-/E66.813,"Obesity, class 3"
2025,E66.89,E66.89 Other obesity not elsewhere classified,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E65-E68/E66-/E66.89,Other obesity not elsewhere classified
2025,E74.82,E74.82 Disorders of citrate metabolism,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E70-E88/E74-/E74.82,Disorders of citrate metabolism
2025,E74.820,E74.820 SLC13A5 Citrate Transporter Disorder,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E70-E88/E74-/E74.820,SLC13A5 Citrate Transporter Disorder
2025,E74.829,E74.829 Other disorders of citrate metabolism,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E70-E88/E74-/E74.829,Other disorders of citrate metabolism
2025,E88.82,E88.82 Obesity due to disruption of MC4R pathway,https://www.icd10data.com/ICD10CM/Codes/E00-E89/E70-E88/E88-/E88.82,Obesity due to disruption of MC4R pathway
2025,F50.01,"F50.01 Anorexia nervosa, restricting type",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.01,"Anorexia nervosa, restricting type"
2025,F50.010,"F50.010 Anorexia nervosa, restricting type, mild",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.010,"Anorexia nervosa, restricting type, mild"
2025,F50.011,"F50.011 Anorexia nervosa, restricting type, moderate",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.011,"Anorexia nervosa, restricting type, moderate"
2025,F50.012,"F50.012 Anorexia nervosa, restricting type, severe",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.012,"Anorexia nervosa, restricting type, severe"
2025,F50.013,"F50.013 Anorexia nervosa, restricting type, extreme",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.013,"Anorexia nervosa, restricting type, extreme"
2025,F50.014,"F50.014 Anorexia nervosa, restricting type, in remission",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.014,"Anorexia nervosa, restricting type, in remission"
2025,F50.019,"F50.019 Anorexia nervosa, restricting type, unspecified",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.019,"Anorexia nervosa, restricting type, unspecified"
2025,F50.02,"F50.02 Anorexia nervosa, binge eating/purging type",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.02,"Anorexia nervosa, binge eating/purging type"
2025,F50.020,"F50.020 Anorexia nervosa, binge eating/purging type, mild",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.020,"Anorexia nervosa, binge eating/purging type, mild"
2025,F50.021,"F50.021 Anorexia nervosa, binge eating/purging type, moderate",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.021,"Anorexia nervosa, binge eating/purging type, moderate"
2025,F50.022,"F50.022 Anorexia nervosa, binge eating/purging type, severe",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.022,"Anorexia nervosa, binge eating/purging type, severe"
2025,F50.023,"F50.023 Anorexia nervosa, binge eating/purging type, extreme",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.023,"Anorexia nervosa, binge eating/purging type, extreme"
2025,F50.024,"F50.024 Anorexia nervosa, binge eating/purging type, in remission",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.024,"Anorexia nervosa, binge eating/purging type, in remission"
2025,F50.029,"F50.029 Anorexia nervosa, binge eating/purging type, unspecified",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.029,"Anorexia nervosa, binge eating/purging type, unspecified"
2025,F50.2,F50.2 Bulimia nervosa,https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.2,Bulimia nervosa
2025,F50.20,"F50.20 Bulimia nervosa, unspecified",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.20,"Bulimia nervosa, unspecified"
2025,F50.21,"F50.21 Bulimia nervosa, mild",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.21,"Bulimia nervosa, mild"
2025,F50.22,"F50.22 Bulimia nervosa, moderate",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.22,"Bulimia nervosa, moderate"
2025,F50.23,"F50.23 Bulimia nervosa, severe",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.23,"Bulimia nervosa, severe"
2025,F50.24,"F50.24 Bulimia nervosa, extreme",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.24,"Bulimia nervosa, extreme"
2025,F50.25,"F50.25 Bulimia nervosa, in remission",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.25,"Bulimia nervosa, in remission"
2025,F50.81,F50.81 Binge eating disorder,https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.81,Binge eating disorder
2025,F50.810,"F50.810 Binge eating disorder, mild",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.810,"Binge eating disorder, mild"
2025,F50.811,"F50.811 Binge eating disorder, moderate",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.811,"Binge eating disorder, moderate"
2025,F50.812,"F50.812 Binge eating disorder, severe",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.812,"Binge eating disorder, severe"
2025,F50.813,"F50.813 Binge eating disorder, extreme",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.813,"Binge eating disorder, extreme"
2025,F50.814,"F50.814 Binge eating disorder, in remission",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.814,"Binge eating disorder, in remission"
2025,F50.819,"F50.819 Binge eating disorder, unspecified",https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.819,"Binge eating disorder, unspecified"
2025,F50.83,F50.83 Pica in adults,https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.83,Pica in adults
2025,F50.84,F50.84 Rumination disorder in adults,https://www.icd10data.com/ICD10CM/Codes/F01-F99/F50-F59/F50-/F50.84,Rumination disorder in adults
2025,G40.84,G40.84 KCNQ2-related epilepsy,https://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47/G40-/G40.84,KCNQ2-related epilepsy
2025,G40.841,"G40.841 KCNQ2-related epilepsy, not intractable, with status epilepticus",https://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47/G40-/G40.841,"KCNQ2-related epilepsy, not intractable, with status epilepticus"
2025,G40.842,"G40.842 KCNQ2-related epilepsy, not intractable, without status epilepticus",https://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47/G40-/G40.842,"KCNQ2-related epilepsy, not intractable, without status epilepticus"
2025,G40.843,"G40.843 KCNQ2-related epilepsy, intractable, with status epilepticus",https://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47/G40-/G40.843,"KCNQ2-related epilepsy, intractable, with status epilepticus"
2025,G40.844,"G40.844 KCNQ2-related epilepsy, intractable, without status epilepticus",https://www.icd10data.com/ICD10CM/Codes/G00-G99/G40-G47/G40-/G40.844,"KCNQ2-related epilepsy, intractable, without status epilepticus"
2025,G90.8,G90.8 Other disorders of autonomic nervous system,https://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99/G90-/G90.8,Other disorders of autonomic nervous system
2025,G90.81,G90.81 Serotonin syndrome,https://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99/G90-/G90.81,Serotonin syndrome
2025,G90.89,G90.89 Other disorders of autonomic nervous system,https://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99/G90-/G90.89,Other disorders of autonomic nervous system
2025,G93.45,G93.45 Developmental and epileptic encephalopathy,https://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99/G93-/G93.45,Developmental and epileptic encephalopathy
2025,I26.03,I26.03 Cement embolism of pulmonary artery with acute cor pulmonale,https://www.icd10data.com/ICD10CM/Codes/I00-I99/I26-I28/I26-/I26.03,Cement embolism of pulmonary artery with acute cor pulmonale
2025,I26.04,I26.04 Fat embolism of pulmonary artery with acute cor pulmonale,https://www.icd10data.com/ICD10CM/Codes/I00-I99/I26-I28/I26-/I26.04,Fat embolism of pulmonary artery with acute cor pulmonale
