Description,ICD Code
"Malignant immunoproliferative disease, unspecified, in remission",C88.91
Fanconi anemia,D61.03
"Type 1 diabetes mellitus, presymptomatic",E10.A
"Type 1 diabetes mellitus, presymptomatic, unspecified",E10.A0
"Type 1 diabetes mellitus, presymptomatic, Stage 1",E10.A1
"Type 1 diabetes mellitus, presymptomatic, Stage 2",E10.A2
Hypoglycemia level,E16.A
Hypoglycemia level 1,E16.A1
Hypoglycemia level 2,E16.A2
Hypoglycemia level 3,E16.A3
Carcinoid syndrome,E34.0
"Carcinoid syndrome, unspecified",E34.00
Carcinoid heart syndrome,E34.01
Other carcinoid syndrome,E34.09
Other obesity,E66.8
Obesity class,E66.81
"Obesity, class 1",E66.811
"Obesity, class 2",E66.812
"Obesity, class 3",E66.813
Other obesity not elsewhere classified,E66.89
Disorders of citrate metabolism,E74.82
SLC13A5 Citrate Transporter Disorder,E74.820
Other disorders of citrate metabolism,E74.829
Obesity due to disruption of MC4R pathway,E88.82
"Anorexia nervosa, restricting type",F50.01
"Anorexia nervosa, restricting type, mild",F50.010
"Anorexia nervosa, restricting type, moderate",F50.011
"Anorexia nervosa, restricting type, severe",F50.012
"Anorexia nervosa, restricting type, extreme",F50.013
"Anorexia nervosa, restricting type, in remission",F50.014
"Anorexia nervosa, restricting type, unspecified",F50.019
"Anorexia nervosa, binge eating/purging type",F50.02
"Anorexia nervosa, binge eating/purging type, mild",F50.020
"Anorexia nervosa, binge eating/purging type, moderate",F50.021
"Anorexia nervosa, binge eating/purging type, severe",F50.022
"Anorexia nervosa, binge eating/purging type, extreme",F50.023
"Anorexia nervosa, binge eating/purging type, in remission",F50.024
"Anorexia nervosa, binge eating/purging type, unspecified",F50.029
Bulimia nervosa,F50.2
"Bulimia nervosa, unspecified",F50.20
"Bulimia nervosa, mild",F50.21
"Bulimia nervosa, moderate",F50.22
"Bulimia nervosa, severe",F50.23
"Bulimia nervosa, extreme",F50.24
"Bulimia nervosa, in remission",F50.25
Binge eating disorder,F50.81
"Binge eating disorder, mild",F50.810
"Binge eating disorder, moderate",F50.811
"Binge eating disorder, severe",F50.812
"Binge eating disorder, extreme",F50.813
"Binge eating disorder, in remission",F50.814
"Binge eating disorder, unspecified",F50.819
Pica in adults,F50.83
Rumination disorder in adults,F50.84
KCNQ2-related epilepsy,G40.84
"KCNQ2-related epilepsy, not intractable, with status epilepticus",G40.841
"KCNQ2-related epilepsy, not intractable, without status epilepticus",G40.842
"KCNQ2-related epilepsy, intractable, with status epilepticus",G40.843
"KCNQ2-related epilepsy, intractable, without status epilepticus",G40.844
Other disorders of autonomic nervous system,G90.8
Serotonin syndrome,G90.81
Other disorders of autonomic nervous system,G90.89
Developmental and epileptic encephalopathy,G93.45
Cement embolism of pulmonary artery with acute cor pulmonale,I26.03
Fat embolism of pulmonary artery with acute cor pulmonale,I26.04
Cement embolism of pulmonary artery without acute cor pulmonale,I26.95
Fat embolism of pulmonary artery without acute cor pulmonale,I26.96
Nasal valve collapse,J34.82
Internal nasal valve collapse,J34.820
"Internal nasal valve collapse, unspecified",J34.8200
"Internal nasal valve collapse, static",J34.8201
"Internal nasal valve collapse, dynamic",J34.8202
External nasal valve collapse,J34.821
"External nasal valve collapse, unspecified",J34.8210
"External nasal valve collapse, static",J34.8211
"External nasal valve collapse, dynamic",J34.8212
"Nasal valve collapse, unspecified",J34.829
Anal fistula,K60.3
"Anal fistula, unspecified",K60.30
"Anal fistula, simple",K60.31
"Anal fistula, simple, initial",K60.311
"Anal fistula, simple, persistent",K60.312
"Anal fistula, simple, recurrent",K60.313
"Anal fistula, simple, unspecified",K60.319
"Anal fistula, complex",K60.32
"Anal fistula, complex, initial",K60.321
"Anal fistula, complex, persistent",K60.322
"Anal fistula, complex, recurrent",K60.323
"Anal fistula, complex, unspecified",K60.329
Rectal fistula,K60.4
"Rectal fistula, unspecified",K60.40
"Rectal fistula, simple",K60.41
"Rectal fistula, simple, initial",K60.411
"Rectal fistula, simple, persistent",K60.412
"Rectal fistula, simple, recurrent",K60.413
"Rectal fistula, simple, unspecified",K60.419
"Rectal fistula, complex",K60.42
"Rectal fistula, complex, initial",K60.421
"Rectal fistula, complex, persistent",K60.422
"Rectal fistula, complex, recurrent",K60.423
"Rectal fistula, complex, unspecified",K60.429
Anorectal fistula,K60.5
"Anorectal fistula, unspecified",K60.50
"Anorectal fistula, simple",K60.51
"Anorectal fistula, simple, initial",K60.511
"Anorectal fistula, simple, persistent",K60.512
"Anorectal fistula, simple, recurrent",K60.513
"Anorectal fistula, simple, unspecified",K60.519
"Anorectal fistula, complex",K60.52
"Anorectal fistula, complex, initial",K60.521
"Anorectal fistula, complex, persistent",K60.522
"Anorectal fistula, complex, recurrent",K60.523
"Anorectal fistula, complex, unspecified",K60.529
Other pruritus,L29.8
Cholestatic pruritus,L29.81
Other pruritus,L29.89
Lichen planopilaris,L66.1
"Lichen planopilaris, unspecified",L66.10
Classic lichen planopilaris,L66.11
Frontal fibrosing alopecia,L66.12
Other lichen planopilaris,L66.19
Other cicatricial alopecia,L66.8
Central centrifugal cicatricial alopecia,L66.81
Other cicatricial alopecia,L66.89
"Other intervertebral disc degeneration, lumbar region",M51.36
"Other intervertebral disc degeneration, lumbar region with discogenic back pain only",M51.360
"Other intervertebral disc degeneration, lumbar region with lower extremity pain only",M51.361
"Other intervertebral disc degeneration, lumbar region with discogenic back pain and lower extremity pain",M51.362
"Other intervertebral disc degeneration, lumbar region without mention of lumbar back pain or lower extremity pain",M51.369
"Other intervertebral disc degeneration, lumbosacral region",M51.37
"Other intervertebral disc degeneration, lumbosacral region with discogenic back pain only",M51.370
"Other intervertebral disc degeneration, lumbosacral region with lower extremity pain only",M51.371
"Other intervertebral disc degeneration, lumbosacral region with discogenic back pain and lower extremity pain",M51.372
"Other intervertebral disc degeneration, lumbosacral region without mention of lumbar back pain or lower extremity pain",M51.379
"Dysfunction of the multifidus muscles, lumbar region",M62.85
"Synovitis and tenosynovitis, unspecified",M65.9
"Unspecified synovitis and tenosynovitis, unspecified site",M65.90
"Unspecified synovitis and tenosynovitis, shoulder",M65.91
"Unspecified synovitis and tenosynovitis, right shoulder",M65.911
"Unspecified synovitis and tenosynovitis, left shoulder",M65.912
"Unspecified synovitis and tenosynovitis, unspecified shoulder",M65.919
"Unspecified synovitis and tenosynovitis, upper arm",M65.92
"Unspecified synovitis and tenosynovitis, right upper arm",M65.921
"Unspecified synovitis and tenosynovitis, left upper arm",M65.922
"Unspecified synovitis and tenosynovitis, unspecified upper arm",M65.929
"Unspecified synovitis and tenosynovitis, forearm",M65.93
"Unspecified synovitis and tenosynovitis, right forearm",M65.931
"Unspecified synovitis and tenosynovitis, left forearm",M65.932
"Unspecified synovitis and tenosynovitis, unspecified forearm",M65.939
"Unspecified synovitis and tenosynovitis, hand",M65.94
"Unspecified synovitis and tenosynovitis, right hand",M65.941
"Unspecified synovitis and tenosynovitis, left hand",M65.942
"Unspecified synovitis and tenosynovitis, unspecified hand",M65.949
"Unspecified synovitis and tenosynovitis, thigh",M65.95
"Unspecified synovitis and tenosynovitis, right thigh",M65.951
"Unspecified synovitis and tenosynovitis, left thigh",M65.952
"Unspecified synovitis and tenosynovitis, unspecified thigh",M65.959
"Unspecified synovitis and tenosynovitis, lower leg",M65.96
"Unspecified synovitis and tenosynovitis, right lower leg",M65.961
"Unspecified synovitis and tenosynovitis, left lower leg",M65.962
"Unspecified synovitis and tenosynovitis, unspecified lower leg",M65.969
"Unspecified synovitis and tenosynovitis, ankle and foot",M65.97
"Unspecified synovitis and tenosynovitis, right ankle and foot",M65.971
"Unspecified synovitis and tenosynovitis, left ankle and foot",M65.972
"Unspecified synovitis and tenosynovitis, unspecified ankle and foot",M65.979
"Unspecified synovitis and tenosynovitis, other site",M65.98
"Unspecified synovitis and tenosynovitis, multiple sites",M65.99
Other congenital malformations of aortic and mitral valves,Q23.8
Bicuspid aortic valve,Q23.81
Congenital mitral valve cleft leaflet,Q23.82
Other congenital malformations of aortic and mitral valves,Q23.88
Kleefstra syndrome,Q87.86
Anosognosia,R41.85
"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs",T45.A
"Poisoning by, adverse effect of and underdosing of immune checkpoint inhibitors and immunostimulant drugs",T45.AX
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional)",T45.AX1
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional), initial encounter",T45.AX1A
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional), subsequent encounter",T45.AX1D
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, accidental (unintentional), sequela",T45.AX1S
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm",T45.AX2
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm, initial encounter",T45.AX2A
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm, subsequent encounter",T45.AX2D
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, intentional self-harm, sequela",T45.AX2S
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault",T45.AX3
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault, initial encounter",T45.AX3A
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault, subsequent encounter",T45.AX3D
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, assault, sequela",T45.AX3S
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined",T45.AX4
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined, initial encounter",T45.AX4A
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined, subsequent encounter",T45.AX4D
"Poisoning by immune checkpoint inhibitors and immunostimulant drugs, undetermined, sequela",T45.AX4S
Adverse effect of immune checkpoint inhibitors and immunostimulant drugs,T45.AX5
"Adverse effect of immune checkpoint inhibitors and immunostimulant drugs, initial encounter",T45.AX5A
"Adverse effect of immune checkpoint inhibitors and immunostimulant drugs, subsequent encounter",T45.AX5D
"Adverse effect of immune checkpoint inhibitors and immunostimulant drugs, sequela",T45.AX5S
Underdosing of immune checkpoint inhibitors and immunostimulant drugs,T45.AX6
"Underdosing of immune checkpoint inhibitors and immunostimulant drugs, initial encounter",T45.AX6A
"Underdosing of immune checkpoint inhibitors and immunostimulant drugs, subsequent encounter",T45.AX6D
"Underdosing of immune checkpoint inhibitors and immunostimulant drugs, sequela",T45.AX6S
"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure",T81.320
"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, initial encounter",T81.320A
"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, subsequent encounter",T81.320D
"Disruption or dehiscence of gastrointestinal tract anastomosis, repair, or closure, sequela",T81.320S
Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia,T81.321
"Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, initial encounter",T81.321A
"Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, subsequent encounter",T81.321D
"Disruption or dehiscence of closure of internal operation (surgical) wound of abdominal wall muscle or fascia, sequela",T81.321S
Disruption or dehiscence of closure of other specified internal operation (surgical) wound,T81.328
"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, initial encounter",T81.328A
"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, subsequent encounter",T81.328D
"Disruption or dehiscence of closure of other specified internal operation (surgical) wound, sequela",T81.328S
"Deep disruption or dehiscence of operation wound, unspecified",T81.329
"Deep disruption or dehiscence of operation wound, unspecified, initial encounter",T81.329A
"Deep disruption or dehiscence of operation wound, unspecified, subsequent encounter",T81.329D
"Deep disruption or dehiscence of operation wound, unspecified, sequela",T81.329S
Genetic susceptibility to epilepsy and neurodevelopmental disorders,Z15.1
Genetic susceptibility to obesity,Z15.2
Progesterone receptor status,Z17.2
Progesterone receptor positive status,Z17.21
Progesterone receptor negative status,Z17.22
Human epidermal growth factor 2 receptor,Z17.3
Human epidermal growth factor receptor 2 positive status,Z17.31
Human epidermal growth factor receptor 2 negative status,Z17.32
Combined receptor status,Z17.4
Hormone receptor positive,Z17.41
Hormone receptor positive with human epidermal growth factor receptor 2 positive status,Z17.410
Hormone receptor positive with human epidermal growth factor receptor 2 negative status,Z17.411
Hormone receptor negative,Z17.42
Hormone receptor negative with human epidermal growth factor receptor 2 positive status,Z17.420
Hormone receptor negative with human epidermal growth factor receptor 2 negative status,Z17.421
Encounter for sepsis aftercare,Z51.A
Insufficient social insurance and welfare support,Z59.7
Insufficient health insurance coverage,Z59.71
Insufficient welfare support,Z59.72
Duffy phenotype,Z67.A
Duffy null,Z67.A1
Duffy a positive,Z67.A2
Duffy b positive,Z67.A3
Duffy a and b positive,Z67.A4
"Body mass index [BMI] pediatric, 120% of the 95th percentile for age to less than 140% of the 95th percentile for age",Z68.55
"Body mass index [BMI] pediatric, greater than or equal to 140% of the 95th percentile for age",Z68.56
Family history of familial adenomatous polyposis,Z83.72
Personal history of colon polyps,Z86.010
"Personal history of colon polyps, unspecified",Z86.0100
Personal history of adenomatous and serrated colon polyps,Z86.0101
Personal history of hyperplastic colon polyps,Z86.0102
Personal history of other colon polyps,Z86.0109
Personal history of immune checkpoint inhibitor therapy,Z92.26
Sepsis due to Acinetobacter baumannii,A41.54
Acinetobacter baumannii as the cause of diseases classified elsewhere,B96.83
Benign neoplasm of ill-defined sites within the digestive system,D13.9
Familial adenomatous polyposis,D13.91
Benign neoplasm of ill-defined sites within the digestive system,D13.99
Neoplasm of uncertain behavior of connective and other soft tissue,D48.1
Desmoid tumor,D48.11
Desmoid tumor of head and neck,D48.110
Desmoid tumor of chest wall,D48.111
"Desmoid tumor, intrathoracic",D48.112
Desmoid tumor of abdominal wall,D48.113
"Desmoid tumor, intraabdominal",D48.114
Desmoid tumor of upper extremity and shoulder girdle,D48.115
Desmoid tumor of lower extremity and pelvic girdle,D48.116
Desmoid tumor of back,D48.117
Desmoid tumor of other site,D48.118
Desmoid tumor of unspecified site,D48.119
Other specified neoplasm of uncertain behavior of connective and other soft tissue,D48.19
Hb-SS disease with dactylitis,D57.04
Sickle-cell/Hb-C disease with dactylitis,D57.214
"Sickle-cell thalassemia, unspecified, with dactylitis",D57.414
Sickle-cell thalassemia beta zero with dactylitis,D57.434
Sickle-cell thalassemia beta plus with dactylitis,D57.454
Other sickle-cell disorders with dactylitis,D57.814
Shwachman-Diamond syndrome,D61.02
IgG4-related disease,D89.84
Other hypoparathyroidism,E20.8
Hypoparathyroidism due to impaired parathyroid hormone secretion,E20.81
Autosomal dominant hypocalcemia,E20.810
Secondary hypoparathyroidism in diseases classified elsewhere,E20.811
Autoimmune hypoparathyroidism,E20.812
Other specified hypoparathyroidism due to impaired parathyroid hormone secretion,E20.818
"Hypoparathyroidism due to impaired parathyroid hormone secretion, unspecified",E20.819
Other specified hypoparathyroidism,E20.89
Lysosome-associated membrane protein 2 [LAMP2] deficiency,E74.05
Pelizaeus-Merzbacher disease,E75.27
Canavan disease,E75.28
Other disorders of purine and pyrimidine metabolism,E79.8
Aicardi-Goutieres syndrome,E79.81
Hereditary xanthinuria,E79.82
Other specified disorders of purine and pyrimidine metabolism,E79.89
Disorders of mitochondrial tRNA synthetases,E88.43
Metabolic syndrome and other insulin resistance,E88.81
Metabolic syndrome,E88.810
"Insulin resistance syndrome, Type A",E88.811
Other insulin resistance,E88.818
"Insulin resistance, unspecified",E88.819
Wasting disease (syndrome) due to underlying condition,E88.A
Hypomyelination - hypogonadotropic hypogonadism - hypodontia,G11.5
Leukodystrophy with vanishing white matter disease,G11.6
Parkinson's disease,G20
Parkinson's disease without dyskinesia,G20.A
"Parkinson's disease without dyskinesia, without mention of fluctuations",G20.A1
"Parkinson's disease without dyskinesia, with fluctuations",G20.A2
Parkinson's disease with dyskinesia,G20.B
"Parkinson's disease with dyskinesia, without mention of fluctuations",G20.B1
"Parkinson's disease with dyskinesia, with fluctuations",G20.B2
"Parkinsonism, unspecified",G20.C
Hypomyelination with atrophy of the basal ganglia and cerebellum,G23.3
"Leukodystrophy, unspecified",G31.80
Alexander disease,G31.86
Other specified demyelinating diseases of central nervous system,G37.8
Myelin oligodendrocyte glycoprotein antibody disease,G37.81
Other specified demyelinating diseases of central nervous system,G37.89
Lafora progressive myoclonus epilepsy,G40.C
"Lafora progressive myoclonus epilepsy, not intractable",G40.C0
"Lafora progressive myoclonus epilepsy, not intractable, with status epilepticus",G40.C01
"Lafora progressive myoclonus epilepsy, not intractable, without status epilepticus",G40.C09
"Lafora progressive myoclonus epilepsy, intractable",G40.C1
"Lafora progressive myoclonus epilepsy, intractable, with status epilepticus",G40.C11
"Lafora progressive myoclonus epilepsy, intractable, without status epilepticus",G40.C19
Chronic migraine with aura,G43.E
"Chronic migraine with aura, not intractable",G43.E0
"Chronic migraine with aura, not intractable, with status migrainosus",G43.E01
"Chronic migraine with aura, not intractable, without status migrainosus",G43.E09
"Chronic migraine with aura, intractable",G43.E1
"Chronic migraine with aura, intractable, with status migrainosus",G43.E11
"Chronic migraine with aura, intractable, without status migrainosus",G43.E19
LMNB1-related autosomal dominant leukodystrophy,G90.B
Megaloencephalic leukoencephalopathy with subcortical cysts,G93.42
Leukoencephalopathy with calcifications and cysts,G93.43
Adult-onset leukodystrophy with axonal spheroids,G93.44
Retinal disorders in diseases classified elsewhere,H36
Other retinal disorders in diseases classified elsewhere,H36.8
Nonproliferative sickle-cell retinopathy,H36.81
"Nonproliferative sickle-cell retinopathy, right eye",H36.811
"Nonproliferative sickle-cell retinopathy, left eye",H36.812
"Nonproliferative sickle-cell retinopathy, bilateral",H36.813
"Nonproliferative sickle-cell retinopathy, unspecified eye",H36.819
Proliferative sickle-cell retinopathy,H36.82
"Proliferative sickle-cell retinopathy, right eye",H36.821
"Proliferative sickle-cell retinopathy, left eye",H36.822
"Proliferative sickle-cell retinopathy, bilateral",H36.823
"Proliferative sickle-cell retinopathy, unspecified eye",H36.829
Other retinal disorders in diseases classified elsewhere,H36.89
Inferior oblique muscle entrapment,H50.62
"Inferior oblique muscle entrapment, right eye",H50.621
"Inferior oblique muscle entrapment, left eye",H50.622
"Inferior oblique muscle entrapment, unspecified eye",H50.629
Inferior rectus muscle entrapment,H50.63
"Inferior rectus muscle entrapment, right eye",H50.631
"Inferior rectus muscle entrapment, left eye",H50.632
"Inferior rectus muscle entrapment, unspecified eye",H50.639
Lateral rectus muscle entrapment,H50.64
"Lateral rectus muscle entrapment, right eye",H50.641
"Lateral rectus muscle entrapment, left eye",H50.642
"Lateral rectus muscle entrapment, unspecified eye",H50.649
Medial rectus muscle entrapment,H50.65
"Medial rectus muscle entrapment, right eye",H50.651
"Medial rectus muscle entrapment, left eye",H50.652
"Medial rectus muscle entrapment, unspecified eye",H50.659
Superior oblique muscle entrapment,H50.66
"Superior oblique muscle entrapment, right eye",H50.661
"Superior oblique muscle entrapment, left eye",H50.662
"Superior oblique muscle entrapment, unspecified eye",H50.669
Superior rectus muscle entrapment,H50.67
"Superior rectus muscle entrapment, right eye",H50.671
"Superior rectus muscle entrapment, left eye",H50.672
"Superior rectus muscle entrapment, unspecified eye",H50.679
"Extraocular muscle entrapment, unspecified",H50.68
"Extraocular muscle entrapment, unspecified, right eye",H50.681
"Extraocular muscle entrapment, unspecified, left eye",H50.682
"Extraocular muscle entrapment, unspecified, unspecified eye",H50.689
"Low vision, right eye, category 2",H54.512
Foreign body sensation eye (ocular),H57.8A
"Foreign body sensation, right eye",H57.8A1
"Foreign body sensation, left eye",H57.8A2
"Foreign body sensation, bilateral eyes",H57.8A3
"Foreign body sensation, unspecified eye",H57.8A9
Other hypertension,I1A
Resistant hypertension,I1A.0
Other forms of angina pectoris,I20.8
Angina pectoris with coronary microvascular dysfunction,I20.81
Other forms of angina pectoris,I20.89
Myocardial infarction with coronary microvascular dysfunction,I21.B
Other forms of acute ischemic heart disease,I24.8
Acute coronary microvascular dysfunction,I24.81
Other forms of acute ischemic heart disease,I24.89
Chronic coronary microvascular dysfunction,I25.85
Supraventricular tachycardia,I47.1
"Supraventricular tachycardia, unspecified",I47.10
"Inappropriate sinus tachycardia, so stated",I47.11
Other supraventricular tachycardia,I47.19
Pneumonia due to other Gram-negative bacteria,J15.6
Pneumonia due to Acinetobacter baumannii,J15.61
Pneumonia due to other Gram-negative bacteria,J15.69
Other specified chronic obstructive pulmonary disease,J44.8
Bronchiolitis obliterans and bronchiolitis obliterans syndrome,J44.81
Other specified chronic obstructive pulmonary disease,J44.89
Chronic lung allograft dysfunction,J4A
Restrictive allograft syndrome,J4A.0
Other chronic lung allograft dysfunction,J4A.8
"Chronic lung allograft dysfunction, unspecified",J4A.9
"Acute appendicitis with generalized peritonitis, without abscess",K35.20
"Acute appendicitis with generalized peritonitis, without perforation or abscess",K35.200
"Acute appendicitis with generalized peritonitis, with perforation, without abscess",K35.201
"Acute appendicitis with generalized peritonitis, without abscess, unspecified as to perforation",K35.209
"Acute appendicitis with generalized peritonitis, with abscess",K35.21
"Acute appendicitis with generalized peritonitis, without perforation, with abscess",K35.210
"Acute appendicitis with generalized peritonitis, with perforation and abscess",K35.211
"Acute appendicitis with generalized peritonitis, with abscess, unspecified as to perforation",K35.219
Intestinal microbial overgrowth,K63.82
Small intestinal bacterial overgrowth,K63.821
"Small intestinal bacterial overgrowth, hydrogen-subtype",K63.8211
"Small intestinal bacterial overgrowth, hydrogen sulfide-subtype",K63.8212
"Small intestinal bacterial overgrowth, unspecified",K63.8219
Small intestinal fungal overgrowth,K63.822
"Intestinal methanogen overgrowth, unspecified",K63.829
Retroperitoneal fibrosis,K68.2
Retroperitoneal hematoma,K68.3
Short bowel syndrome,K90.82
Short bowel syndrome with colon in continuity,K90.821
Short bowel syndrome without colon in continuity,K90.822
"Short bowel syndrome, unspecified",K90.829
Intestinal failure,K90.83
"Age-related osteoporosis with current pathological fracture, pelvis",M80.0B
"Age-related osteoporosis with current pathological fracture, right pelvis",M80.0B1
"Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture",M80.0B1A
"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with routine healing",M80.0B1D
"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing",M80.0B1G
"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion",M80.0B1K
"Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion",M80.0B1P
"Age-related osteoporosis with current pathological fracture, right pelvis, sequela",M80.0B1S
"Age-related osteoporosis with current pathological fracture, left pelvis",M80.0B2
"Age-related osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture",M80.0B2A
"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with routine healing",M80.0B2D
"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing",M80.0B2G
"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion",M80.0B2K
"Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion",M80.0B2P
"Age-related osteoporosis with current pathological fracture, left pelvis, sequela",M80.0B2S
"Age-related osteoporosis with current pathological fracture, unspecified pelvis",M80.0B9
